Title	Developer(s)	Publisher(s)	Japan	Europe	North America	Notes
This Is Football II	SCE London Studio	SCEE	Unreleased	2000-01-01	Unreleased	
Thousand Arms	Red Company	Atlus	1998-12-17	Unreleased	1999-09-30	
Thrasher Presents: Skate and Destroy	Z-Axis Ltd.	Rockstar Games	2000-03-04	1999-01-01	1999-09-26	
Threads of Fate	Square	Square	Unreleased	Unreleased	2000-07-14	
The Three Decoders: Key to the Carousel			Unreleased	Unreleased	Unreleased	
The Three Decoders: Riddle of the Ring			Unreleased	Unreleased	Unreleased	
Three Lions|Alexi Lalas International Soccer NA	Z-Axis Ltd.	Take-Two Interactive	Unreleased	1998-04-17	1998-04-17	
The Three Stooges	Cinemaware	Metro3D	Unreleased	Unreleased	2004-02-07	
Thrill Kill	Paradox Development	Virgin Interactive	Unreleased	Unreleased	Unreleased	
Thunder Force V	TechnoSoft	Working Designs	1998-05-21	Unreleased	1998-08-31	
Thunder Truck Rally	Reflections Interactive	Psygnosis	Unreleased	Unreleased	1997-05-31	
Timeless Jade Trade			Unreleased	Unreleased	Unreleased	
Timeless Math: Brainswarm			Unreleased	Unreleased	Unreleased	
Timeless Math: Lunar Base			Unreleased	Unreleased	Unreleased	
Timeless Math: Maya - King Jaguar's Village			Unreleased	Unreleased	Unreleased	
Timeless Math: Maya - Observatory			Unreleased	Unreleased	Unreleased	
Timeless Math: Maya - Search and Rescue			Unreleased	Unreleased	Unreleased	
Timeless Math: Rover Recovery			Unreleased	Unreleased	Unreleased	
Timeless Math: Space Flight Rescue			Unreleased	Unreleased	Unreleased	
TigerShark	n-space	GT Interactive	Unreleased	Unreleased	1997-03-31	
Tiger Woods PGA Tour 99	Adrenalin Entertainment|Electronic Arts	Electronic Arts	Unreleased	Unreleased	1998-10-31	
Tiger Woods PGA Tour 2000	EA Redwood Shores	Electronic Arts	Unreleased	2000-03-31	1999-11-30	
Tiger Woods PGA Tour Golf	EA Redwood Shores	Electronic Arts	Unreleased	Unreleased	2000-11-13	
Tigger's Honey Hunt	Doki Denki Studio	NewKidCo|Disney Interactive	Unreleased	Unreleased	2000-09-29	
Time Commando	Adeline Software	Activision NA|Electronic Arts PAL|Virgin Interactive JP	1996-09-01	1996-09-01	1996-09-30	
Time Crisis	Namco	Namco	1997-06-27	1997-11-30	1997-10-31	
Time Crisis: Project Titan	Namco	Namco	2001-04-26	2001-04-06	2001-06-20	
Time Gal and Ninja Hayate			Unreleased	Unreleased	Unreleased	
Tintin: Destination Adventure	Runecraft	Infogrames	Unreleased	2001-09-21	Unreleased	
Tiny Tank	Appaloosa Interactive	SCEA	Unreleased	1999-01-01	1999-08-31	
Tiny Toon Adventures: The Great Beanstalk|Tiny Toon Adventures: Buster And The Beanstalk PAL	Terraglyph Interactive Studios	NewKidCo|Warner Bros. Interactive Entertainment	Unreleased	Unreleased	1998-10-27	
Tiny Toon Adventures: Toonenstein -- Dare to Scare	Terraglyph Interactive Studios	Vatical Entertainment|Warner Bros. Interactive Entertainment	Unreleased	Unreleased	1999-11-02	
Tiny Toon Adventures: Plucky's Big Adventure	Warthog	Conspiracy Entertainment	Unreleased	Unreleased	2001-10-02	
Titan Wars	Crystal Dynamics	Crystal Dynamics	Unreleased	1996-11-01	Unreleased	
TNN Motor Sports Hardcore 4x4	Gremlin Interactive	ASC Games	Unreleased	Unreleased	1996-10-30	
TNN Motor Sports Hardcore TR	ASC Games	Eutechnyx	Unreleased	Unreleased	1999-12-02	
Tobal No. 1	DreamFactory	SCEA	1996-08-02	1997-01-01	1996-09-30	
Tobal 2	DreamFactory	Square	1997-04-25	Unreleased	Unreleased	
TOCA Championship Racing	Codemasters	The 3DO Company	Unreleased	Unreleased	1998-07-31	
TOCA 2 Touring Cars|Touring Car Challenge NA	Codemasters	Codemasters	1998-06-18	1997-11-01	1999-10-31	
TOCA World Touring Cars|Jarrett & Labonte Stock Car Racing NA|WTC: World Touring Car Championship  JP	Codemasters	Codemasters	2000-11-09	2000-08-25	2000-10-02	
To Heart	Leaf	Leaf	1999-03-25	Unreleased	Unreleased	
Tokimeki Memorial: Forever With You	Konami	Konami	1995-10-13	Unreleased	Unreleased	
Tokimeki Memorial Drama Series Vol. 1 Nijiiro no Seishun	Konami	Konami	1997-01-01	Unreleased	Unreleased	
Tokimeki Memorial Drama Series Vol. 2 Irodori no Love Song	Konami	Konami	1998-01-01	Unreleased	Unreleased	
Tokimeki Memorial Drama Series Vol. 3 Tabidachi no Uta	Konami	Konami	1999-01-01	Unreleased	Unreleased	
Tokimeki Memorial Private Collection	Konami	Konami	1996-01-01	Unreleased	Unreleased	
Tokimeki Memorial Selection: Fujisaki Shiori	Konami	Konami	1997-01-01	Unreleased	Unreleased	
Tokimeki Memorial: Taisen Puzzle-Dama	Konami	Konami	1996-09-27	Unreleased	Unreleased	
Tokimeki Memorial Taisen Tokkae Dama	Konami	Konami	1997-01-01	Unreleased	Unreleased	
Tokimeki Memorial 2	Konami Computer Entertainment Tokyo	Konami	1999-11-25	Unreleased	Unreleased	
Tokimeki Memorial 2 Substories: Dancing Summer Vacation	Konami	Konami	2000-01-01	Unreleased	Unreleased	
Tokimeki Memorial 2 Substories: Leaping School Festival	Konami	Konami	2001-01-01	Unreleased	Unreleased	
Tokimeki Memorial 2 Substories: Memories Ringing On	Konami	Konami	2001-01-01	Unreleased	Unreleased	
Tokimeki Memorial 2 Taisen Puzzle Dama	Konami	Konami	2001-01-01	Unreleased	Unreleased	
Tokimeki no Houkago	Konami	Konami	1998-01-01	Unreleased	Unreleased	
Tokyo Highway Battle	Genki	Jaleco Entertainment	Unreleased	Unreleased	1996-09-30	
Tokyo Shadow	Taito Corporation	Taito Corporation	1996-09-27	Unreleased	Unreleased	
Tom Clancy's Rainbow Six	Red Storm Entertainment	Red Storm Entertainment	Unreleased	Unreleased	1999-11-23	
Tom Clancy's Rainbow Six: Lone Wolf	Red Storm Entertainment	Red Storm Entertainment	Unreleased	Unreleased	2002-07-04	
Tom Clancy's Rainbow Six: Rogue Spear	Red Storm Entertainment	Red Storm Entertainment	Unreleased	2001-05-25	2001-03-27	
Tom and Jerry in House Trap	Mattel Media|Warthog Games	NewKidCo|Warner Bros. Interactive Entertainment	Unreleased	Unreleased	2000-11-24	
Tomb Raider	Core Design	Eidos Interactive	1997-02-14	1996-11-25	1996-11-15	
Tomb Raider II	Core Design	Eidos Interactive	1998-01-22	1997-11-01	1997-10-31	
Tomb Raider III: Adventures of Lara Croft	Core Design	Eidos Interactive	Unreleased	Unreleased	1998-11-21	
Tomb Raider: The Last Revelation	Core Design	Eidos Interactive	Unreleased	Unreleased	1999-11-22	
Tomb Raider Chronicles	Core Design	Eidos Interactive	2001-05-31	2000-11-17	2000-01-01	
Tomba!|Tombi! PAL|Ore! Tomba JP	Whoopee Camp	Whoopee Camp JP|SCEA NA|SCEE PAL	1997-12-25	1998-09-04	1998-06-30	
Tomba! 2: The Evil Swine Return|Tombi! 2 PAL|Tomba! The Wild Adventures JP	Whoopee Camp	Whoopee Camp JP|SCEA NA|SCEE PAL	1999-10-28	1999-12-31	2000-06-30	
Toys	The Code Monkeys	Phoenix Games	Unreleased	2003-01-01	Unreleased	
Tommi Mäkinen Rally|International Rally Championship FR	EuroPress Software	EuroPress Software	Unreleased	1998-06-03	Unreleased	
Tonka Space Station	Data Design Interactive	Hasbro Interacrtive	Unreleased	Unreleased	2000-11-06	
Tony Hawk's Pro Skater	Neversoft	Activision	1999-03-30	1999-01-01	1999-08-31	
Tony Hawk's Pro Skater 2	Neversoft	Activision	Unreleased	Unreleased	2000-09-20	
Tony Hawk's Pro Skater 3	Neversoft	Activision	Unreleased	Unreleased	2001-10-29	
Tony Hawk's Pro Skater 4	Neversoft	Activision	Unreleased	Unreleased	2002-10-23	
Top Gun: Fire At Will	MicroProse	Spectrum Holobyte	Unreleased	Unreleased	1996-06-01	
Torc			Unreleased	Unreleased	Unreleased	
Torc			Unreleased	Unreleased	Unreleased	
Torneko: The Last Hope	Matrix Software	Enix Corporation	1999-09-15	Unreleased	2000-11-15	
Toshinden Subaru|Toshinden 4 PAL	Tamsoft|System 3	Avalon Interactive|Play It Ltd (2003 Re-Release)	1999-08-12	2000-06-30	Unreleased	
Total Eclipse Turbo	Crystal Dynamics	Crystal Dynamics	Unreleased	Unreleased	1995-09-09	
Total NBA 96			Unreleased	Unreleased	Unreleased	
Total NBA 97			Unreleased	Unreleased	Unreleased	
Total NBA 98			Unreleased	1998-05-01	Unreleased	
Touge Max 2			1998-09-17	Unreleased	Unreleased	
Toukon Retsuden 2			1996-12-20	Unreleased	Unreleased	
Toukon Retsuden 3			Unreleased	Unreleased	Unreleased	
Touring Car Challenge			Unreleased	Unreleased	Unreleased	
Toy Story 2: Buzz Lightyear to the Rescue	Traveller's Tales	Activision	Unreleased	1999-11-01	1999-11-30	
Toy Story Racer	Traveller's Tales	Activision|Disney Interactive	Unreleased	2001-03-23	2001-03-05	
Toyota Netz Racing	Atlus	Atlus	1999-01-01	Unreleased	Unreleased	
Track & Field			Unreleased	Unreleased	Unreleased	
Transformers: Beast Wars Transmetals	Wavedge	Bam! Entertainment	Unreleased	Unreleased	2000-03-15	
Transport Tycoon	Chris Sawyer	MicroProse	Unreleased	Unreleased	Unreleased	
Trap Gunner: Countdown to Oblivion	Racdym	Atlus	Unreleased	Unreleased	1998-09-30	
Trash It	Rage Software	GT Interactive	Unreleased	1997-07-01	Unreleased	
Treasure Gear			1997-07-31	Unreleased	Unreleased	
Treasure Planet	Magenta Software	SCEA	Unreleased	Unreleased	2002-11-11	
Treasures of the Deep	Black Ops Entertainment	Namco|Sony Computer Entertainment Europe	Unreleased	1998-07-01	1997-08-31	
Trick'n Snowboarder	Capcom	Cave	1999-02-04	2000-12-29	1999-10-19	
Trickshot			Unreleased	Unreleased	Unreleased	
Triple Play 97	Electronic Arts	EA Sports	Unreleased	Unreleased	1996-07-31	
Triple Play 98	Electronic Arts	EA Canada	Unreleased	Unreleased	1997-04-30	
Triple Play 99	EA Sports	EA Sports	Unreleased	Unreleased	1998-02-28	
Triple Play 2000	Treyarch	EA Sports	Unreleased	Unreleased	1999-02-28	
Triple Play 2001	Treyarch	EA Sports	Unreleased	Unreleased	2000-03-14	
Triple Play Baseball	EA Sports	Treyarch	Unreleased	Unreleased	2001-03-12	
Truck Racing			Unreleased	Unreleased	Unreleased	
Truck Rally			Unreleased	Unreleased	Unreleased	
True Love Story		ASCII Entertainment	1996-01-01	Unreleased	Unreleased	
True Love Story ~Remember my Heart~		ASCII Entertainment	1997-01-01	Unreleased	Unreleased	
True Love Story 2		ASCII Entertainment	1999-01-01	Unreleased	Unreleased	
True Love Story Fan Disk		ASCII Entertainment	1999-01-01	Unreleased	Unreleased	
True Pinball	Digital Illusions	Acclaim	Unreleased	Unreleased	1996-09-01	
Tunnel B1	NEON Software	Acclaim|Ocean Software	1996-10-04	1996-10-01	1996-10-31	
Turbo Prop Racing	SCE London Studio	SCEA	1998-07-16	1997-10-01	1998-06-30	
Turbo Twister			Unreleased	Unreleased	Unreleased	
Turnabout	Artdink	Natsume	2000-04-06	2004-02-01	2003-05-01	
Tunguska: Legend Of Faith			Unreleased	2000-01-01	Unreleased	
Tweenies: Game Time	Intelligent Games, Ltd.	BBC Multimedia	Unreleased	2001-03-30	Unreleased	
TwinBee RPG	Konami Computer Entertainment Tokyo	Konami	1998-04-02	Unreleased	Unreleased	
Twinbee Taisen Puzzle Dama	Konami	Konami	1994-12-09	Unreleased	Unreleased	
Twisted Metal	SCEA|Single Trac	SCEA	1996-11-15	1996-01-01	1995-11-05	
Twisted Metal 2|Twisted Metal: World Tour PAL	SCEA|Single Trac	SCEA	1997-08-28	1997-02-01	1996-10-31	
Twisted Metal III	989 Studios	989 Studios	Unreleased	Unreleased	1998-10-31	
Twisted Metal 4	989 Studios	SCEA	Unreleased	Unreleased	1999-10-31	
Twisted Metal: Small Brawl	Incognito Entertainment	SCEA	Unreleased	Unreleased	2001-11-26	
Tyco RC: Assault With a Battery	Lucky Chicken Games	Mattel	2002-06-13	Unreleased	2000-09-01	
Ubik		Cryo Interactive Entertainment	Unreleased	Unreleased	1998-01-01	
UEFA Challenge	Infogrames Entertainment	Infogrames Entertainment	Unreleased	Unreleased	Unreleased	
UEFA Champions League 98/99			Unreleased	Unreleased	Unreleased	
UEFA Champions League 99/00			Unreleased	Unreleased	Unreleased	
UEFA Champions League 00/01			Unreleased	Unreleased	Unreleased	
UEFA Euro 2000			Unreleased	Unreleased	Unreleased	
UEFA Striker	Infogrames Entertainment	Rage Software	Unreleased	1999-01-01	Unreleased	
UFO: A Day in the Life [244]	Love-de-Lic	ASCII Entertainment	1999-06-24	Unreleased	Unreleased	
Ultima Underworld	Blue Sky Productions	Origin Systems	1997-03-14	Unreleased	Unreleased	
Ultimate 8-Ball	Mirage Productions	THQ	Unreleased	Unreleased	1999-05-31	
Ultimate Brain Games	Telegames Inc.	Telegames Inc.	Unreleased	Unreleased	2003-12-02	
Ultimate Fighting Championship	Opus	Crave Entertainment	Unreleased	Unreleased	2000-11-13	
Ultraman Fighting Evolution			1998-02-19	Unreleased	Unreleased	
Ultraman Tiga & Ultraman Dyna: New Generations		Bandai	1998-01-01	Unreleased	Unreleased	
Umihara Kawase: Shun	Jackpot	XING	1997-02-28	Unreleased	Unreleased	
Umihara Kawase: Shun - Second Edition	Jackpot	XING	2000-01-01	Unreleased	Unreleased	
UmJammer Lammy	NaNaOn-Sha	SCEA	1999-03-18	1999-11-01	1999-08-17	
The Unholy War	Toys For Bob	Eidos Interactive	Unreleased	1998-09-01	1998-09-30	
Unknown Variable 1: Masque Manor			Unreleased	Unreleased	Unreleased	
Unknown Variable 2: Raven's Ridge			Unreleased	Unreleased	Unreleased	
Uprising X	Cyclone Studios	The 3DO Company	Unreleased	Unreleased	1998-11-30	
Urban Chaos	Mucky Foot Productions	Eidos Interactive	Unreleased	Unreleased	2000-03-31	
USA Racer			Unreleased	Unreleased	Unreleased	
U.S. Navy Fighters			Unreleased	Unreleased	Unreleased	
V-Rally	Eden Studios	Infogrames	Unreleased	1997-07-01	1997-09-30	
V-Rally 2	Eden Studios	Infogrames	2000-01-27	1999-01-01	1999-10-31	
V-Ball: Beach Volley Heroes			Unreleased	Unreleased	Unreleased	
V-Tennis	Tonkin House	Acclaim PAL, NA|Tonkin House JP	1995-09-22	1997-06-15	1996-05-01	
V-Tennis 2	Tonkin House	Tonkin House	1996-11-29	Unreleased	Unreleased	
V2000			Unreleased	1998-10-01	Unreleased	
Vagrant Story	Square	Square	2000-02-10	2000-06-21	2000-05-15	
Valkyrie Profile	Tri-Ace	Enix Corporation	1999-12-22	Unreleased	2000-08-29	
Vampir: Kyuuketsuki Densetsu			1999-03-04	Unreleased	Unreleased	
Vampire Hunter D|Vampire Hunter PAL	Jaleco Entertainment	Jaleco Entertainment	1999-12-09	2000-01-01	2000-09-25	
Vanark	Bit Town	Jaleco Entertainment	Unreleased	Unreleased	2000-03-31	
Vandal Hearts	Konami Computer Entertainment Tokyo	Konami	1996-10-25	1997-06-01	1997-03-27	
Vandal Hearts II	Konami Computer Entertainment Nagoya	Konami	1999-07-08	2000-06-30	1999-11-30	
Vanguard Bandits|Detonator Gauntlet JP	S-Neo	Working Designs	1998-07-30	Unreleased	2000-04-29	
Vanishing Point	Clockwork Games	Acclaim	Unreleased	2001-03-09	2001-02-05	
Vegas Casino			Unreleased	Unreleased	Unreleased	
Vegas Games 2000	The 3DO Company	The 3DO Company	Unreleased	Unreleased	1999-09-28	
Vermin			Unreleased	Unreleased	Unreleased	
Versailles: A Game of Intrigue			Unreleased	Unreleased	Unreleased	
Vib-Ribbon	NanaOn-Sha	SCEI JP|SCEE PAL	1999-12-12	2000-09-01	Unreleased	
Victory Boxing Challenger			Unreleased	Unreleased	Unreleased	
Victory Boxing Championship Edition			Unreleased	Unreleased	Unreleased	
Victory Boxing Contender			Unreleased	Unreleased	Unreleased	
Victory Boxing 2			Unreleased	Unreleased	Unreleased	
Viewpoint	Visual Concepts	Electronic Arts	Unreleased	Unreleased	1995-11-28	
Vigilante 8	Luxoflux	Activision	Unreleased	Unreleased	1998-05-31	
Vigilante 8: Second Offense	Luxoflux	Activision	Unreleased	Unreleased	1999-10-31	
V.I.P.	Ubisoft Shanghai	Ubisoft	Unreleased	Unreleased	2001-04-01	
Viper			Unreleased	Unreleased	Unreleased	
Virtual Golf			Unreleased	Unreleased	Unreleased	
Virtual Hiyru no Ken			Unreleased	Unreleased	Unreleased	
Virtual Kasparov	Titus Software	Titus Software	Unreleased	Unreleased	2001-08-15	
Virtual Pool	Celeris	Interplay	Unreleased	Unreleased	1997-02-28	
Virtual Pool 3	Digital Mayhem	XS Games	Unreleased	Unreleased	2003-08-11	
Virus			Unreleased	Unreleased	Unreleased	
Virus: The Battle Field			Unreleased	Unreleased	Unreleased	
Virus: It is Aware	Cryo Interactive	Cryo Interactive	Unreleased	1999-06-01	Unreleased	
Virus 2000	Frontier Developments	Grolier Interactive	Unreleased	1998-10-01	Unreleased	
Viva Football	Crimson Studio	Virgin Interactive	2000-02-10	1998-09-01	1999-09-01	
VMX Racing	Studio E	Playmates	Unreleased	Unreleased	1997-06-30	
VR Baseball '97	VR Sports	Interplay	Unreleased	Unreleased	1997-03-31	
VR Baseball '99	VR Sports	Interplay	Unreleased	Unreleased	1998-05-31	
VR Golf '97	Gremlin Interactive	VR Sports	Unreleased	Unreleased	1996-10-31	
VR Soccer '96	Gremlin Interactive	Interplay	Unreleased	Unreleased	1996-10-31	
VR Sports Powerboat Racing	Promethean Designs	Interplay	Unreleased	Unreleased	1998-03-31	
Vs.	Polygon Magic	THQ	Unreleased	Unreleased	1997-11-30	
Wacky Races	Infogrames	Infogrames	2001-07-26	2001-10-19	Unreleased	
Waku Waku Bowling			1998-04-02	Unreleased	Unreleased	
Walt Disney World Quest: Magical Racing Tour	Crystal Dynamics	Eidos Interactive|Disney Interactive	Unreleased	2000-06-23	2000-03-23	
Warcraft 2: The Dark Saga	Climax Group	Electronic Arts	Unreleased	Unreleased	1997-08-31	
WarGames: Defcon 1	Interactive Studios Ltd.	MGM Interactive|MGM/UA	Unreleased	Unreleased	1998-06-30	
War Gods	Eurocom	Midway	Unreleased	1997-10-01	1997-01-01	
WarJetz	The 3DO Company	The 3DO Company	Unreleased	2001-05-25	2001-06-27	
Warhammer: Dark Omen	Mindscape	Electronic Arts	Unreleased	Unreleased	1998-04-07	
Warhammer: Shadow of the Horned Rat	SSI	Mindscape	Unreleased	1996-12-01	1996-11-01	
Warhawk	SingleTrac	SCEA	1996-10-04	1995-12-01	1995-11-10	
Warm Up!			Unreleased	2001-02-09	Unreleased	
Warriors of Might and Magic	The 3DO Company	The 3DO Company	Unreleased	Unreleased	2000-02-07	
Warpath: Jurassic Park	Black Ops Entertainment	DreamWorks Interactive	Unreleased	1999-01-01	1999-10-31	
Warzone 2100	Pumpkin Studios	Eidos Interactive	Unreleased	Unreleased	1999-05-31	
Wayne Gretzky's 3D Hockey '98	Software Creations	Midway	Unreleased	Unreleased	1997-12-26	
WCW Backstage Assault	Kodiak Interactive|Electronic Arts	Electronic Arts	Unreleased	2000-12-01	2000-11-01	
WCW Mayhem	Kodiak Interactive|Electronic Arts	Electronic Arts	Unreleased	1999-01-01	1999-08-31	
WCW Nitro	Inland Productions	THQ	Unreleased	1998-06-01	1997-01-01	
WCW/nWo Thunder	Inland Productions	THQ	Unreleased	1999-01-01	1998-12-31	
WCW vs. the World|Virtual Pro-Westling JP	The Man Breeze	THQ|Asmik Ace Entertainment JP	1996-09-13	1997-12-01	1997-02-28	
The Weakest Link	Traveller's Tales	Activision	Unreleased	2001-01-01	2001-09-28	
Wedding Peach: Doki Doki Oiro-naoshi			1990-01-01	Unreleased	Unreleased	
Welcome House			1996-02-23	Unreleased	Unreleased	
Welcome House 2: Keaton and his Uncle			1996-12-20	Unreleased	Unreleased	
Wheel of Fortune	Artech Studios	Hasbro Interactive	Unreleased	Unreleased	1998-12-15	
Wheel of Fortune 2nd Edition	Artech Studios	Hasbro Interactive	Unreleased	Unreleased	2000-10-18	
Westlife Fan-O-Mania			2002-06-28	Unreleased	Unreleased	
Whizz	Flair Software	Konami PAL|B-Factory JP	1999-09-18	1997-02-01	Unreleased	
Who Wants to be a Millionaire: Third Edition	Jellyvision	SCEA	Unreleased	Unreleased	2001-06-11	
Who Wants to be a Millionaire: Second Edition	Jellyvision	SCEA	Unreleased	Unreleased	2000-06-23	
Who Wants to be a Millionaire|Quiz $ Millionaire JP	Hothouse Creations	Eidos	2001-12-20	2000-09-29	Unreleased	
Wild 9	Shiny Entertainment	Interplay	2000-02-10	1998-09-01	1998-09-30	
Wild Arms	Media.Vision	Sony Computer Entertainment Inc.	1996-12-20	1998-10-01	1997-04-30	
Wild Arms 2	Media.Vision	SCEA	1999-09-02	Unreleased	2000-04-30	
Wild Boater JP	Tao Human	Tao Human	1999-11-02	Unreleased	Unreleased	
Wild Rapids|Bakuryuu JP	Fujimic, Inc.	GN Software PAL|Fuji Television JP	2000-09-14	2000-09-08	Unreleased	
The Wild Thornberrys: Animal Adventure	Know Wonder	Mattel Media|Nickelodeon	Unreleased	Unreleased	2000-11-08	
Wild Wild West			Unreleased	Unreleased	Unreleased	
Williams Arcade's Greatest Hits	Digital Eclipse	Williams	Unreleased	Unreleased	1996-04-10	
Windsurfer's Paradise		Midas Interactive	Unreleased	Unreleased	Unreleased	
Wing Commander III: Heart of the Tiger	Origin Systems	Origin Systems	Unreleased	Unreleased	1996-01-01	
Wing Commander IV: The Price of Freedom	Origin Systems	Origin Systems	Unreleased	Unreleased	1997-05-14	
Wing Over			1997-02-21	1997-10-01	Unreleased	
Wing Over 2			Unreleased	Unreleased	Unreleased	
Winky The Little Bear			Unreleased	Unreleased	Unreleased	
Winnie the Pooh: Kindergarten	Hi Corp	Bam Entertainment	Unreleased	Unreleased	2002-11-05	
Winnie the Pooh: Preschool	Hi Corp	Bam Entertainment	Unreleased	Unreleased	2002-11-05	
Winning Eleven 3: Final Version	Konami Computer Entertainment Tokyo	Konami	1998-11-12	Unreleased	Unreleased	
WipEout	Psygnosis	Psygnosis	Unreleased	Unreleased	1995-11-21	
WipEout 2097|WipEout XL NA	Psygnosis	Psygnosis	1996-11-08	1996-10-01	1996-09-30	
WipEout 3	Psygnosis	Psygnosis	Unreleased	Unreleased	1999-08-31	
Wip3out: Special Edition	Psygnosis	Psygnosis	Unreleased	2000-07-14	Unreleased	
Wizardry VII: Gadeia no Houshu	Sir-Tech	Sir-Tech	1995-10-13	Unreleased	Unreleased	
Wizardry Empire	Sir-Tech	Sir-Tech	2000-12-28	Unreleased	Unreleased	
Wizardry Empire 2	Sir-Tech	Sir-Tech	2002-10-17	Unreleased	Unreleased	
Wizardry: Dimguil	Sir-Tech	Sir-Tech	1990-01-01	Unreleased	Unreleased	
Wizardry: Llylgamyn Saga	Sir-Tech	Sir-Tech	1998-02-26	Unreleased	Unreleased	
Wizardry: New Age of Llylgamyn	Sir-Tech	Sir-Tech	1999-10-28	Unreleased	Unreleased	
Woody Woodpecker Racing	Syrox Developments	Konami	2001-07-12	2000-12-22	2000-01-01	
Wonders 3 Arcade Gears			1990-01-01	Unreleased	Unreleased	
World Championship Snooker			Unreleased	Unreleased	Unreleased	
World Cup 98	EA Canada	EA Sports	Unreleased	Unreleased	1998-03-31	
World Cup Golf: Professional Edition	Arc Developments	U.S. Gold	Unreleased	1995-01-01	1996-01-01	
